NrZawodnika;NrChip;Klasyfikacja;Kategoria;Imie;Nazwisko;Plec;Wiek;DataUrodzenia;Panstwo;Miasto;NazwaKlubu;Telefon
1;1;10KM;M16-99;Wojciech;Dreszer;M;96;1927-11-05;POL;Myszków;Bytom Running Team;487307493
2;2;8KM;K16-99;El¿bieta;Klaus;K;55;1968-12-02;POL;Piastów;Œroda Wielkopolska Running Team;487996066
3;3;10KM;M16-99;Mi³osz;Boœ;M;75;1949-01-07;POL;£uków;Myszków Running Team;486022532
4;4;21KM;M16-99;Kornel;Ruszczak;M;74;1950-02-16;POL;£owicz;£uków Running Team;793612042
5;5;8KM;M16-99;Filip;Frania;M;28;1996-05-10;POL;Jaros³aw;Bia³a Podlaska Running Team;486024104
6;6;42KM;M16-99;Igor;Bandyk;M;91;1932-11-30;POL;Wo³omin;P³oñsk Running Team;487854838
7;7;21KM;K16-99;Lidia;Pleœniak;K;97;1927-03-27;POL;Olsztyn;G³ogów Running Team;735570094
8;8;8KM;M16-99;Patryk;Wyskiel;M;71;1952-09-21;POL;Sochaczew;P³oñsk Running Team;517666581
9;9;21KM;K16-99;Ewelina;W¹sek;K;59;1965-04-08;POL;Siedlce;Wa³brzych Running Team;482207735
10;10;21KM;M16-99;Kacper;Gogol;M;71;1953-08-25;POL;Sochaczew;Œroda Wielkopolska Running Team;486015212
11;11;8KM;K16-99;Janina;Husak;K;94;1929-11-23;POL;Brodnica;Sieradz Running Team;514033539
12;12;21KM;M16-99;Micha³;Jezior;M;19;2005-07-30;POL;Radomsko;Zgierz Running Team;795848728
13;13;42KM;K16-99;Urszula;Kude³ka;K;70;1954-04-29;POL;¯ywiec;Mielec Running Team;487887347
14;14;42KM;M16-99;Krystian;Milczarczyk;M;34;1989-12-07;POL;Czerwionka-Leszczyny;Piastów Running Team;663534359
15;15;8KM;K16-99;Nela;Witka;K;77;1946-10-25;POL;Lublin;Gorzów Wielkopolski Running Team;485066799
16;16;10KM;M16-99;Alex;Folga;M;74;1950-06-21;POL;Sandomierz;Œwidnica Running Team;799251311
17;17;10KM;M16-99;Gustaw;Andrearczyk;M;77;1947-03-01;POL;Kalisz;Che³m Running Team;486024929
18;18;42KM;M16-99;Micha³;Raszkiewicz;M;98;1926-03-28;POL;Bia³a Podlaska;Goleniów Running Team;738564024
19;19;21KM;K16-99;Marika;Pietrasz;K;24;1999-09-24;POL;CzeladŸ;Jaworzno Running Team;485092770
20;20;21KM;K16-99;Klara;Dyka;K;87;1937-02-16;POL;Lubliniec;Skierniewice Running Team;881253319
21;21;8KM;M16-99;Tadeusz;£osiewicz;M;37;1987-09-10;POL;Pabianice;Krosno Running Team;486025418
22;22;8KM;M16-99;Eryk;Achtelik;M;17;2007-09-04;POL;Leszno;Jelenia Góra Running Team;516904410
23;23;21KM;M16-99;Mi³osz;Goss;M;31;1993-09-08;POL;Zduñska Wola;Miko³ów Running Team;482246688
24;24;10KM;M16-99;Dariusz;Gzyl;M;54;1970-02-13;POL;Pruszków;K³odzko Running Team;485027227
25;25;8KM;M16-99;Oliwier;Janowiak;M;87;1937-01-31;POL;Leszno;Police Running Team;485025929
